"Species","Family","Order","Mass","Trophic_level","HWI","brain_mass_g","CRB_Final","mass_kg"
"Euplectes_axillaris","Ploceidae","Passeriformes",25.1,"Herbivore",15.3,NA,1,0.0251
"Euplectes_capensis","Ploceidae","Passeriformes",30.5,"Omnivore",17,NA,1,0.0305
"Euplectes_diadematus","Ploceidae","Passeriformes",13.9,"Herbivore",19.2,NA,1,0.0139
"Euplectes_franciscanus","Ploceidae","Passeriformes",16,"Herbivore",17.2,NA,1,0.016
"Euplectes_gierowii","Ploceidae","Passeriformes",28.3,"Omnivore",9.2,NA,1,0.0283
"Euplectes_hartlaubi","Ploceidae","Passeriformes",35.5,"Herbivore",17.7,NA,1,0.0355
"Euplectes_hordeaceus","Ploceidae","Passeriformes",19.4,"Herbivore",13.3,NA,1,0.0194
"Euplectes_jacksoni","Ploceidae","Passeriformes",37,"Herbivore",16.4,NA,1,0.037
"Euplectes_laticauda","Ploceidae","Passeriformes",19,"Herbivore",18.7,NA,1,0.019
"Euplectes_macroura","Ploceidae","Passeriformes",21.7,"Herbivore",13.6,NA,1,0.0217
"Euplectes_nigroventris","Ploceidae","Passeriformes",12.5,"Herbivore",17.9,NA,1,0.0125
"Euplectes_orix","Ploceidae","Passeriformes",23,"Omnivore",22.5,NA,1,0.023
"Euplectes_progne","Ploceidae","Passeriformes",35.1,"Herbivore",16.3,NA,1,0.0351
"Euplectes_psammacromius","Ploceidae","Passeriformes",35.5,"Omnivore",13.9,NA,1,0.0355
"Eupsittula_aurea","Psittacidae","Psittaciformes",84.6,"Herbivore",46.4,NA,0,0.0846
"Eupsittula_canicularis","Psittacidae","Psittaciformes",85,"Herbivore",44.6,NA,1,0.085
"Eupsittula_pertinax","Psittacidae","Psittaciformes",84,"Herbivore",41.2,NA,1,0.084
"Falculea_palliata","Vangidae","Passeriformes",111,"Carnivore",19.4,NA,1,0.111
"Ficedula_erithacus","Muscicapidae","Passeriformes",10,"Omnivore",23.9,NA,0,0.01
"Ficedula_hypoleuca","Muscicapidae","Passeriformes",13.8,"Carnivore",30.4,NA,0,0.0138
"Ficedula_nigrorufa","Muscicapidae","Passeriformes",9.4,"Carnivore",15.4,NA,0,0.0094
"Ficedula_parva","Muscicapidae","Passeriformes",10.8,"Carnivore",25.3,NA,0,0.0108
"Ficedula_zanthopygia","Muscicapidae","Passeriformes",12.1,"Carnivore",26.3,NA,0,0.0121
"Forpus_coelestis","Psittacidae","Psittaciformes",26.1,"Herbivore",34.5,NA,0,0.0261
"Forpus_conspicillatus","Psittacidae","Psittaciformes",26.4,"Herbivore",38.4,NA,1,0.0264
"Forpus_cyanopygius","Psittacidae","Psittaciformes",33.5,"Herbivore",41.1,NA,0,0.0335
"Forpus_passerinus","Psittacidae","Psittaciformes",23,"Herbivore",40.1,1.1396,1,0.023
"Forpus_xanthops","Psittacidae","Psittaciformes",35,"Herbivore",39,NA,1,0.035
"Foudia_aldabrana","Ploceidae","Passeriformes",24.5,"Carnivore",18.2,NA,1,0.0245
"Foudia_madagascariensis","Ploceidae","Passeriformes",16.6,"Herbivore",16,0.762824745,1,0.0166
"Fringilla_coelebs","Fringillidae","Passeriformes",23.8,"Omnivore",27.6,0.83916,1,0.0238
"Fringilla_montifringilla","Fringillidae","Passeriformes",23.2,"Herbivore",32.5,NA,1,0.0232
"Garrulax_galbanus","Leiotrichidae","Passeriformes",56,"Carnivore",9.6,NA,0,0.056
"Geospiza_fortis","Thraupidae","Passeriformes",24,"Herbivore",19,NA,0,0.024
"Geranoaetus_melanoleucus","Accipitridae","Accipitriformes",2378.6,"Carnivore",36.6,NA,1,2.3786
"Glossopsitta_concinna","Psittacidae","Psittaciformes",70.5,"Herbivore",53.4,2.97332,0,0.0705
"Glossopsitta_porphyrocephala","Psittacidae","Psittaciformes",44.7,"Herbivore",54.2,1.95804,1,0.0447
"Glossopsitta_pusilla","Psittacidae","Psittaciformes",39.4,"Herbivore",54.7,1.64724,0,0.0394
"Gnorimopsar_chopi","Icteridae","Passeriformes",65.9,"Omnivore",21.1,NA,1,0.0659
"Gracupica_contra","Sturnidae","Passeriformes",84,"Omnivore",22.6,NA,1,0.084
"Gracupica_jalla","Sturnidae","Passeriformes",84,"Omnivore",22.6,NA,1,0.084
"Grantiella_picta","Meliphagidae","Passeriformes",21.5,"Herbivore",34.6,0.7252,0,0.0215
"Graydidascalus_brachyurus","Psittacidae","Psittaciformes",159,"Herbivore",34,NA,0,0.159
"Guaruba_guarouba","Psittacidae","Psittaciformes",194,"Herbivore",36.8,6.829647313,1,0.194
"Gymnogyps_californianus","Cathartidae","Cathartiformes",8442.7,"Scavenger",41.1,NA,1,8.4427
"Gymnoris_xanthocollis","Passeridae","Passeriformes",18.1,"Herbivore",28.5,NA,0,0.0181
"Gypaetus_barbatus","Accipitridae","Accipitriformes",5695,"Scavenger",49.5,NA,0,5.695
"Gypohierax_angolensis","Accipitridae","Accipitriformes",1600,"Herbivore",30,10.49468,1,1.6
"Gyps_africanus","Accipitridae","Accipitriformes",5433,"Scavenger",39.2,18.907,1,5.433
"Gyps_bengalensis","Accipitridae","Accipitriformes",4385,"Scavenger",38.8,NA,1,4.385
"Gyps_coprotheres","Accipitridae","Accipitriformes",8177,"Scavenger",37.5,NA,1,8.177
"Gyps_fulvus","Accipitridae","Accipitriformes",7436,"Scavenger",39.2,NA,1,7.436
"Gyps_himalayensis","Accipitridae","Accipitriformes",9798,"Scavenger",35.5,NA,1,9.798
"Gyps_indicus","Accipitridae","Accipitriformes",5515,"Scavenger",38.3,NA,1,5.515
"Gyps_rueppelli","Accipitridae","Accipitriformes",7400,"Scavenger",37.6,NA,1,7.4
"Gyps_tenuirostris","Accipitridae","Accipitriformes",5515,"Scavenger",37.2,NA,1,5.515
"Haemorhous_mexicanus","Fringillidae","Passeriformes",21.4,"Herbivore",27.5,NA,1,0.0214
"Haemorhous_purpureus","Fringillidae","Passeriformes",23.3,"Herbivore",28.1,NA,1,0.0233
"Halcyon_leucocephala","Alcedinidae","Coraciiformes",41.8,"Carnivore",23.6,NA,1,0.0418
"Haliaeetus_albicilla","Accipitridae","Accipitriformes",4729.3,"Carnivore",38,NA,1,4.7293
"Haliaeetus_leucocephalus","Accipitridae","Accipitriformes",4700.6,"Carnivore",41.4,18.68944,1,4.7006
"Haliaeetus_leucogaster","Accipitridae","Accipitriformes",2827,"Carnivore",41.3,13.08468,1,2.827
"Haliaeetus_pelagicus","Accipitridae","Accipitriformes",7757,"Carnivore",31.1,NA,1,7.757
"Haliaeetus_vocifer","Accipitridae","Accipitriformes",3400,"Carnivore",33.5,12.62884,0,3.4
"Haliastur_indus","Accipitridae","Accipitriformes",529,"Carnivore",36.4,6.4232,1,0.529
"Haliastur_sphenurus","Accipitridae","Accipitriformes",753,"Carnivore",45.6,6.84796,1,0.753
"Hamirostra_melanosternon","Accipitridae","Accipitriformes",1196,"Carnivore",52,10.7226,1,1.196
"Hapalopsittaca_amazonina","Psittacidae","Psittaciformes",106,"Herbivore",40.5,NA,0,0.106
"Hapalopsittaca_pyrrhops","Psittacidae","Psittaciformes",103,"Herbivore",37.7,NA,0,0.103
"Harpia_harpyja","Accipitridae","Accipitriformes",4800,"Carnivore",47.9,NA,0,4.8
"Harpyopsis_novaeguineae","Accipitridae","Accipitriformes",1959.6,"Carnivore",16.9,NA,0,1.9596
"Hemicircus_concretus","Picidae","Piciformes",29.4,"Carnivore",13.8,NA,1,0.0294
"Henicorhina_leucosticta","Troglodytidae","Passeriformes",14.2,"Carnivore",9.9,NA,0,0.0142
"Hieraaetus_morphnoides","Accipitridae","Accipitriformes",775.1,"Carnivore",44.9,8.09116,0,0.7751
"Hieraaetus_pennatus","Accipitridae","Accipitriformes",823.8,"Carnivore",42,NA,0,0.8238
"Hieraaetus_wahlbergi","Accipitridae","Accipitriformes",640,"Carnivore",42.6,NA,0,0.64
"Himatione_sanguinea","Fringillidae","Passeriformes",15.2,"Herbivore",30.5,0.69412,1,0.0152
"Hirundo_atrocaerulea","Hirundinidae","Passeriformes",13.8,"Carnivore",51.4,NA,0,0.0138
"Hirundo_neoxena","Hirundinidae","Passeriformes",14.7,"Carnivore",51.8,0.49728,1,0.0147
"Hirundo_rustica","Hirundinidae","Passeriformes",17.9,"Carnivore",52.6,0.5698,1,0.0179
"Hylocichla_mustelina","Turdidae","Passeriformes",50.1,"Omnivore",26.9,1.295,0,0.0501
"Hypocolius_ampelinus","Hypocoliidae","Passeriformes",53.3,"Herbivore",25.4,NA,1,0.0533
"Icterus_galbula","Icteridae","Passeriformes",32.8,"Omnivore",27.4,NA,1,0.0328
"Ictinia_mississippiensis","Accipitridae","Accipitriformes",276,"Carnivore",53.6,3.82284,1,0.276
"Ictinia_plumbea","Accipitridae","Accipitriformes",249.9,"Carnivore",41.8,NA,1,0.2499
"Iodopleura_fusca","Tityridae","Passeriformes",15.3,"Carnivore",28,NA,1,0.0153
"Irena_puella","Irenidae","Passeriformes",64.9,"Herbivore",25.3,NA,0,0.0649
"Junco_hyemalis","Passerellidae","Passeriformes",19.5,"Herbivore",21.9,0.85988,1,0.0195
"Lamprospiza_melanoleuca","Mitrospingidae","Passeriformes",34,"Herbivore",23.2,NA,0,0.034
"Lamprotornis_australis","Sturnidae","Passeriformes",101.1,"Omnivore",26.1,NA,1,0.1011
"Lamprotornis_chalybaeus","Sturnidae","Passeriformes",86.2,"Omnivore",26,NA,1,0.0862
"Lamprotornis_chloropterus","Sturnidae","Passeriformes",73.1,"Herbivore",29,NA,1,0.0731
"Lamprotornis_nitens","Sturnidae","Passeriformes",85.6,"Omnivore",20.6,NA,1,0.0856
"Lamprotornis_superbus","Sturnidae","Passeriformes",64.9,"Carnivore",28.4,NA,1,0.0649
"Lanius_borealis","Laniidae","Passeriformes",63.4,"Carnivore",26.3,NA,1,0.0634
"Lanius_collaris","Laniidae","Passeriformes",36.4,"Carnivore",22.1,NA,0,0.0364
"Lanius_cristatus","Laniidae","Passeriformes",32.2,"Carnivore",26.6,NA,1,0.0322
"Lanius_excubitor","Laniidae","Passeriformes",63.4,"Carnivore",26.3,NA,0,0.0634
"Lanius_ludovicianus","Laniidae","Passeriformes",51.6,"Carnivore",22.6,NA,0,0.0516
"Lanius_nubicus","Laniidae","Passeriformes",19.7,"Carnivore",23.6,NA,0,0.0197
"Lanius_senator","Laniidae","Passeriformes",36,"Carnivore",31.4,NA,0,0.036
"Lathamus_discolor","Psittacidae","Psittaciformes",64.7,"Herbivore",53,2.45532,1,0.0647
"Leiothrix_lutea","Leiotrichidae","Passeriformes",21.4,"Carnivore",12.8,0.95312,0,0.0214
"Leptocoma_minima","Nectariniidae","Passeriformes",4.9,"Omnivore",13.6,NA,0,0.0049
"Leptocoma_zeylonica","Nectariniidae","Passeriformes",8.8,"Omnivore",13.9,NA,0,0.0088
"Leptopterus_chabert","Vangidae","Passeriformes",19.6,"Carnivore",30.9,NA,0,0.0196
"Leptosittaca_branickii","Psittacidae","Psittaciformes",155.7,"Herbivore",41.5,NA,1,0.1557
"Leucopsar_rothschildi","Sturnidae","Passeriformes",91.3,"Omnivore",19.9,NA,1,0.0913
"Leucosticte_atrata","Fringillidae","Passeriformes",25.2,"Omnivore",37.5,NA,1,0.0252
"Leucosticte_tephrocotis","Fringillidae","Passeriformes",37.8,"Herbivore",36.9,NA,1,0.0378
"Linaria_flavirostris","Fringillidae","Passeriformes",15.4,"Herbivore",31.9,NA,1,0.0154
"Locustella_major","Locustellidae","Passeriformes",13.3,"Carnivore",16.2,NA,0,0.0133
"Locustella_naevia","Locustellidae","Passeriformes",13.3,"Carnivore",25.4,NA,0,0.0133
"Lonchura_maja","Estrildidae","Passeriformes",12.5,"Herbivore",22.7,NA,1,0.0125
"Lonchura_malacca","Estrildidae","Passeriformes",12.6,"Herbivore",24.4,0.552265171,1,0.0126
"Lonchura_punctulata","Estrildidae","Passeriformes",13.6,"Herbivore",22,NA,1,0.0136
"Lonchura_striata","Estrildidae","Passeriformes",12.3,"Herbivore",20.9,NA,1,0.0123
"Loriculus_galgulus","Psittacidae","Psittaciformes",28,"Herbivore",42.1,1.399721145,0,0.028
"Loriculus_philippensis","Psittacidae","Psittaciformes",34.9,"Herbivore",38.5,1.53328,0,0.0349
"Loriculus_stigmatus","Psittacidae","Psittaciformes",28,"Herbivore",41.6,NA,0,0.028
"Loriculus_vernalis","Psittacidae","Psittaciformes",35.7,"Herbivore",45.6,NA,0,0.0357
"Lorius_chlorocercus","Psittacidae","Psittaciformes",173.5,"Herbivore",43.2,NA,0,0.1735
"Lorius_domicella","Psittacidae","Psittaciformes",182,"Herbivore",40.2,NA,0,0.182
"Lorius_garrulus","Psittacidae","Psittaciformes",143,"Herbivore",41.5,4.518920032,0,0.143
"Lorius_lory","Psittacidae","Psittaciformes",176.9,"Herbivore",39.4,4.610208272,0,0.1769
"Loxia_curvirostra","Fringillidae","Passeriformes",38.3,"Herbivore",37.6,1.47112,1,0.0383
"Loxia_leucoptera","Fringillidae","Passeriformes",28.7,"Herbivore",35.7,1.42968,1,0.0287
"Luscinia_luscinia","Muscicapidae","Passeriformes",23.8,"Carnivore",29.9,NA,0,0.0238
"Luscinia_megarhynchos","Muscicapidae","Passeriformes",19.6,"Carnivore",27.6,NA,0,0.0196
"Luscinia_svecica","Muscicapidae","Passeriformes",17.2,"Carnivore",21.3,NA,0,0.0172
"Macgregoria_pulchra","Meliphagidae","Passeriformes",225.1,"Herbivore",9.6,NA,0,0.2251
"Malacocincla_abbotti","Pellorneidae","Passeriformes",26.8,"Carnivore",10.1,NA,0,0.0268
"Malurus_elegans","Maluridae","Passeriformes",9.6,"Carnivore",11.1,0.59052,1,0.0096
"Malurus_melanocephalus","Maluridae","Passeriformes",7.9,"Carnivore",10.8,0.4662,1,0.0079
"Manorina_flavigula","Meliphagidae","Passeriformes",55.9,"Carnivore",22.6,1.41932,1,0.0559
"Manorina_melanocephala","Meliphagidae","Passeriformes",60.2,"Omnivore",24.8,1.92696,1,0.0602
"Manorina_melanophrys","Meliphagidae","Passeriformes",30.4,"Carnivore",19.9,1.18104,1,0.0304
"Manorina_melanotis","Meliphagidae","Passeriformes",54,"Carnivore",22.5,NA,1,0.054
"Megascops_asio","Strigidae","Strigiformes",180,"Carnivore",28.8,5.08676,0,0.18
"Megascops_barbarus","Strigidae","Strigiformes",69,"Carnivore",29,NA,0,0.069
"Megascops_choliba","Strigidae","Strigiformes",132,"Carnivore",21,3.115136696,0,0.132
"Melanerpes_carolinus","Picidae","Piciformes",69.5,"Omnivore",28.2,2.23776,0,0.0695
"Melanerpes_erythrocephalus","Picidae","Piciformes",71.6,"Carnivore",29.1,1.84408,0,0.0716
"Melanerpes_formicivorus","Picidae","Piciformes",79.6,"Herbivore",28,2.06164,1,0.0796
"Melaniparus_niger","Paridae","Passeriformes",21.5,"Carnivore",17.4,NA,0,0.0215
"Melanochlora_sultanea","Paridae","Passeriformes",37.6,"Carnivore",20.7,NA,0,0.0376
"Melanodryas_cucullata","Petroicidae","Passeriformes",21.1,"Carnivore",25.9,0.8288,0,0.0211
"Melanospiza_bicolor","Thraupidae","Passeriformes",9.8,"Herbivore",14.7,NA,0,0.0098
"Melierax_metabates","Accipitridae","Accipitriformes",674.5,"Carnivore",34.9,NA,1,0.6745
"Melopsittacus_undulatus","Psittacidae","Psittaciformes",29,"Herbivore",50.9,1.554,1,0.029
"Melospiza_georgiana","Passerellidae","Passeriformes",16.1,"Omnivore",19.1,0.83916,1,0.0161
"Melospiza_lincolnii","Passerellidae","Passeriformes",16.6,"Omnivore",22.3,NA,0,0.0166
"Melospiza_melodia","Passerellidae","Passeriformes",21.9,"Omnivore",20.1,1.1,0,0.0219
"Melozone_crissalis","Passerellidae","Passeriformes",52.8,"Herbivore",13.1,NA,0,0.0528
"Menura_novaehollandiae","Menuridae","Passeriformes",972.6,"Carnivore",2,11.09556,0,0.9726
"Merops_apiaster","Meropidae","Coraciiformes",56.6,"Carnivore",45.5,0.91168,1,0.0566
"Merops_orientalis","Meropidae","Coraciiformes",14.8,"Carnivore",35.4,0.4427602,1,0.0148
"Merops_ornatus","Meropidae","Coraciiformes",29.5,"Carnivore",38,0.64232,1,0.0295
"Merops_superciliosus","Meropidae","Coraciiformes",38.5,"Carnivore",45.9,NA,1,0.0385
"Microeca_flavigaster","Petroicidae","Passeriformes",12.1,"Carnivore",25.7,0.52836,0,0.0121
"Milvus_migrans","Accipitridae","Accipitriformes",734.1,"Omnivore",48.1,6.02952,1,0.7341
"Milvus_milvus","Accipitridae","Accipitriformes",1071.8,"Omnivore",49.9,NA,1,1.0718
"Mimus_polyglottos","Mimidae","Passeriformes",48.5,"Omnivore",20.6,1.42968,0,0.0485
"Mino_dumontii","Sturnidae","Passeriformes",217,"Herbivore",19.5,NA,1,0.217
"Mniotilta_varia","Parulidae","Passeriformes",10.9,"Carnivore",25.5,0.45584,0,0.0109
"Mohoua_novaeseelandiae","Mohouidae","Passeriformes",12.1,"Carnivore",20.2,NA,0,0.0121
"Mohoua_ochrocephala","Mohouidae","Passeriformes",27.7,"Omnivore",19.3,NA,0,0.0277
"Molothrus_ater","Icteridae","Passeriformes",40.3,"Carnivore",33,1.1914,1,0.0403
"Molothrus_bonariensis","Icteridae","Passeriformes",41.5,"Omnivore",27.3,NA,1,0.0415
"Molothrus_rufoaxillaris","Icteridae","Passeriformes",47.5,"Omnivore",27.6,NA,1,0.0475
"Momotus_momota","Momotidae","Coraciiformes",115,"Carnivore",18.6,2.26884,0,0.115
"Momotus_subrufescens","Momotidae","Coraciiformes",97.1,"Carnivore",18.2,NA,0,0.0971
"Monarcha_melanopsis","Monarchidae","Passeriformes",22.7,"Carnivore",22.6,0.95312,0,0.0227
"Morphnus_guianensis","Accipitridae","Accipitriformes",1750,"Carnivore",23,NA,0,1.75
"Motacilla_aguimp","Motacillidae","Passeriformes",27,"Carnivore",25.3,NA,1,0.027
"Motacilla_alba","Motacillidae","Passeriformes",23.9,"Carnivore",31.4,0.6216,1,0.0239
"Motacilla_capensis","Motacillidae","Passeriformes",20.8,"Carnivore",25.9,NA,1,0.0208
"Motacilla_cinerea","Motacillidae","Passeriformes",17.2,"Carnivore",34.6,NA,1,0.0172
"Motacilla_flava","Motacillidae","Passeriformes",17.7,"Carnivore",31.1,0.5698,1,0.0177
"Motacilla_maderaspatensis","Motacillidae","Passeriformes",30.5,"Carnivore",25.6,NA,1,0.0305
"Motacilla_tschutschensis","Motacillidae","Passeriformes",18.5,"Carnivore",33.5,NA,1,0.0185
"Muscicapa_striata","Muscicapidae","Passeriformes",15.9,"Carnivore",30.2,NA,0,0.0159
"Myadestes_townsendi","Turdidae","Passeriformes",33.2,"Omnivore",29.9,0.9178448,0,0.0332
"Myiagra_inquieta","Monarchidae","Passeriformes",20.9,"Carnivore",18.7,0.78736,0,0.0209
"Myiarchus_crinitus","Tyrannidae","Passeriformes",32.1,"Omnivore",21.4,NA,0,0.0321
"Myiopsitta_monachus","Psittacidae","Psittaciformes",120,"Herbivore",44.7,NA,1,0.12
"Myophonus_horsfieldii","Muscicapidae","Passeriformes",117,"Carnivore",15.8,NA,0,0.117
"Myzomela_sanguinolenta","Meliphagidae","Passeriformes",8.3,"Herbivore",22.2,0.35224,0,0.0083
"Nannopsittaca_panychlora","Psittacidae","Psittaciformes",44.1,"Herbivore",47.4,1.324815275,0,0.0441
"Necrosyrtes_monachus","Accipitridae","Accipitriformes",2043,"Scavenger",38.7,NA,1,2.043
"Neophema_chrysogaster","Psittacidae","Psittaciformes",45.9,"Herbivore",43.9,NA,1,0.0459
"Neophema_chrysostoma","Psittacidae","Psittaciformes",46.1,"Herbivore",42.6,1.761854846,0,0.0461
"Neophema_elegans","Psittacidae","Psittaciformes",43.4,"Herbivore",43.8,1.32608,0,0.0434
"Neophema_petrophila","Psittacidae","Psittaciformes",53.2,"Herbivore",45.1,1.7612,0,0.0532
"Neophema_pulchella","Psittacidae","Psittaciformes",41.4,"Herbivore",46.5,1.33644,1,0.0414
"Neophema_splendida","Psittacidae","Psittaciformes",38.6,"Herbivore",44.8,1.32608,1,0.0386
"Neophron_percnopterus","Accipitridae","Accipitriformes",2082,"Omnivore",48,NA,1,2.082
"Neopsephotus_bourkii","Psittacidae","Psittaciformes",44.4,"Herbivore",47.8,1.295,1,0.0444
"Neopsittacus_musschenbroekii","Psittacidae","Psittaciformes",50.9,"Herbivore",44.9,2.237307277,0,0.0509
"Nesoptilotis_leucotis","Meliphagidae","Passeriformes",23.9,"Omnivore",17.3,NA,0,0.0239
"Ninox_natalis","Strigidae","Strigiformes",184,"Carnivore",26.3,NA,1,0.184
"Ninox_ochracea","Strigidae","Strigiformes",99,"Carnivore",22.9,NA,0,0.099
"Ninox_rufa","Strigidae","Strigiformes",931.7,"Carnivore",28,8.73348,0,0.9317
"Nisaetus_cirrhatus","Accipitridae","Accipitriformes",1475.1,"Carnivore",27.9,NA,0,1.4751
"Nisaetus_nipalensis","Accipitridae","Accipitriformes",3005,"Carnivore",25.1,NA,0,3.005
"Northiella_haematogaster","Psittacidae","Psittaciformes",85.9,"Herbivore",34.6,2.4864,0,0.0859
"Oenanthe_fusca","Muscicapidae","Passeriformes",12.7,"Carnivore",20.1,NA,0,0.0127
"Oenanthe_oenanthe","Muscicapidae","Passeriformes",25.4,"Carnivore",32.1,NA,0,0.0254
"Ognorhynchus_icterotis","Psittacidae","Psittaciformes",285,"Herbivore",49.4,NA,1,0.285
"Oporornis_agilis","Parulidae","Passeriformes",13.3,"Carnivore",30.4,NA,0,0.0133
"Oreomystis_bairdi","Fringillidae","Passeriformes",14.2,"Carnivore",19.8,NA,0,0.0142
"Orthonyx_novaeguineae","Orthonychidae","Passeriformes",58.1,"Carnivore",8.5,NA,0,0.0581
"Orthopsittaca_manilatus","Psittacidae","Psittaciformes",372,"Herbivore",41.5,NA,1,0.372
"Pandion_haliaetus","Pandionidae","Accipitriformes",1483.2,"Carnivore",44.9,9.71768,0,1.4832
"Panurus_biarmicus","Panuridae","Passeriformes",13.8,"Omnivore",22.1,NA,1,0.0138
"Parabuteo_unicinctus","Accipitridae","Accipitriformes",850.3,"Carnivore",30.8,8.26728,1,0.8503
"Pardalotus_punctatus","Pardalotidae","Passeriformes",8.7,"Omnivore",24.8,0.4144,0,0.0087
"Parkesia_motacilla","Parulidae","Passeriformes",19.9,"Carnivore",29.7,NA,0,0.0199
"Parkesia_noveboracensis","Parulidae","Passeriformes",16.3,"Carnivore",28,NA,0,0.0163
"Paroaria_gularis","Thraupidae","Passeriformes",23.6,"Herbivore",15.3,NA,0,0.0236
"Parus_major","Paridae","Passeriformes",16.3,"Omnivore",18.7,NA,1,0.0163
"Passer_cinnamomeus","Passeridae","Passeriformes",18.5,"Herbivore",31.5,NA,1,0.0185
"Passer_domesticus","Passeridae","Passeriformes",26.5,"Herbivore",27.3,1.00492,1,0.0265
"Passer_hispaniolensis","Passeridae","Passeriformes",24.2,"Herbivore",26,1.00492,1,0.0242
"Passer_iagoensis","Passeridae","Passeriformes",31.5,"Herbivore",18,NA,1,0.0315
"Passer_luteus","Passeridae","Passeriformes",11.2,"Herbivore",21.4,NA,1,0.0112
"Passer_melanurus","Passeridae","Passeriformes",29.5,"Herbivore",24,NA,1,0.0295
"Passer_montanus","Passeridae","Passeriformes",21.4,"Omnivore",24.6,NA,1,0.0214
"Passer_pyrrhonotus","Passeridae","Passeriformes",22,"Herbivore",24.6,NA,1,0.022
"Passerella_iliaca","Passerellidae","Passeriformes",33.3,"Omnivore",26.1,NA,0,0.0333
"Pastor_roseus","Sturnidae","Passeriformes",73,"Omnivore",36.8,NA,1,0.073
"Periparus_ater","Paridae","Passeriformes",9.2,"Omnivore",21.9,NA,1,0.0092
"Pernis_apivorus","Accipitridae","Accipitriformes",754.4,"Carnivore",37.9,NA,0,0.7544
"Pernis_ptilorhynchus","Accipitridae","Accipitriformes",1141.1,"Carnivore",32,NA,0,1.1411
"Pernis_steerei","Accipitridae","Accipitriformes",722,"Carnivore",29.9,NA,0,0.722
"Petrochelidon_fulva","Hirundinidae","Passeriformes",19,"Carnivore",52.6,0.518,1,0.019
"Petrochelidon_pyrrhonota","Hirundinidae","Passeriformes",21.6,"Carnivore",49,NA,1,0.0216
"Petroica_goodenovii","Petroicidae","Passeriformes",8.9,"Carnivore",25.1,0.38332,0,0.0089
"Petroica_macrocephala","Petroicidae","Passeriformes",11.8,"Carnivore",23.2,NA,0,0.0118
"Petroica_phoenicea","Petroicidae","Passeriformes",13,"Carnivore",27.7,0.50764,0,0.013
"Peucaea_aestivalis","Passerellidae","Passeriformes",19.6,"Herbivore",16.5,NA,0,0.0196
"Peucaea_cassinii","Passerellidae","Passeriformes",18.9,"Omnivore",16.4,NA,0,0.0189
"Pezoporus_occidentalis","Psittacidae","Psittaciformes",130,"Herbivore",45.3,NA,0,0.13
"Phaenostictus_mcleannani","Thamnophilidae","Passeriformes",51.1,"Carnivore",13.7,NA,0,0.0511
"Phainopepla_nitens","Ptiliogonatidae","Passeriformes",22.1,"Omnivore",16.9,NA,0,0.0221
"Phigys_solitarius","Psittacidae","Psittaciformes",83.3,"Herbivore",49,NA,0,0.0833
"Philetairus_socius","Ploceidae","Passeriformes",27.4,"Omnivore",16,NA,1,0.0274
"Phoeniculus_damarensis","Phoeniculidae","Bucerotiformes",81.8,"Carnivore",23.8,NA,1,0.0818
"Phrygilus_gayi","Thraupidae","Passeriformes",25.6,"Herbivore",21.2,NA,0,0.0256
"Phylidonyris_pyrrhopterus","Meliphagidae","Passeriformes",16.3,"Herbivore",17.4,NA,0,0.0163
"Phylloscopus_collybita","Phylloscopidae","Passeriformes",8.3,"Carnivore",18.4,NA,1,0.0083
"Phylloscopus_inornatus","Phylloscopidae","Passeriformes",6.6,"Carnivore",19,NA,0,0.0066
"Phylloscopus_trivirgatus","Phylloscopidae","Passeriformes",9,"Carnivore",15.5,NA,0,0.009
"Picoides_arcticus","Picidae","Piciformes",69.2,"Carnivore",25.2,3.2634,0,0.0692
"Pinicola_enucleator","Fringillidae","Passeriformes",56.4,"Herbivore",29.4,1.63688,1,0.0564
"Pionites_leucogaster","Psittacidae","Psittaciformes",155,"Herbivore",32.7,4.954384957,1,0.155
"Pionites_melanocephalus","Psittacidae","Psittaciformes",148.8,"Herbivore",34.8,4.861140273,1,0.1488
"Pionopsitta_pileata","Psittacidae","Psittaciformes",119,"Herbivore",35.8,NA,0,0.119
"Pionus_chalcopterus","Psittacidae","Psittaciformes",210,"Herbivore",31.1,NA,1,0.21
"Pionus_fuscus","Psittacidae","Psittaciformes",206,"Herbivore",32.4,NA,1,0.206
"Pionus_maximiliani","Psittacidae","Psittaciformes",293,"Herbivore",35.2,NA,1,0.293
"Pionus_menstruus","Psittacidae","Psittaciformes",251,"Herbivore",34,5.9052,1,0.251
"Pionus_senilis","Psittacidae","Psittaciformes",212,"Herbivore",41.5,5.480920352,1,0.212
"Pipilo_erythrophthalmus","Passerellidae","Passeriformes",40,"Herbivore",13.6,1.40896,0,0.04
"Pipilo_maculatus","Passerellidae","Passeriformes",39.3,"Omnivore",13.7,NA,0,0.0393
"Pitangus_sulphuratus","Tyrannidae","Passeriformes",62.9,"Carnivore",18.1,1.34752966,1,0.0629
"Pithecophaga_jefferyi","Accipitridae","Accipitriformes",5175.3,"Carnivore",30.3,NA,0,5.1753
"Pitta_versicolor","Pittidae","Passeriformes",88.9,"Carnivore",14.2,1.93732,0,0.0889
"Platycercus_adscitus","Psittacidae","Psittaciformes",111,"Herbivore",39.8,3.17016,0,0.111
"Platycercus_caledonicus","Psittacidae","Psittaciformes",132.6,"Herbivore",42.8,3.76068,0,0.1326
"Platycercus_elegans","Psittacidae","Psittaciformes",123.9,"Herbivore",42.7,4,1,0.1239
